day	stratum	n	agreements	rate
2026-09-18	random_sample	206	141	0.684
2026-09-19	random_sample	269	202	0.751
2026-09-20	random_sample	267	216	0.809
2026-09-18	candidate_sample	694	280	0.403
2026-09-19	candidate_sample	579	258	0.446
2026-09-20	candidate_sample	633	333	0.526
2026-09-18	all_scored	900	421	0.468
2026-09-19	all_scored	848	460	0.542
2026-09-20	all_scored	900	549	0.610
2026-09-18	confidence_high	167	136	0.814
2026-09-19	confidence_high	233	199	0.854
2026-09-20	confidence_high	240	223	0.929
all	confidence_high	640	558	0.872
2026-09-18	confidence_mid	180	93	0.517
2026-09-19	confidence_mid	178	97	0.545
2026-09-20	confidence_mid	164	112	0.683
all	confidence_mid	522	302	0.579
2026-09-18	confidence_low	553	192	0.347
2026-09-19	confidence_low	437	164	0.375
2026-09-20	confidence_low	496	214	0.431
all	confidence_low	1486	570	0.384
