day	metric	value
2026-09-18	judged_messages	2903
2026-09-19	judged_messages	2439
2026-09-20	judged_messages	2598
all	judged_messages	7940
2026-09-18	owner_messages_excluded	5
2026-09-19	owner_messages_excluded	3
2026-09-20	owner_messages_excluded	8
all	owner_messages_excluded	16
2026-09-18	mean_latency_s	0.59
2026-09-19	mean_latency_s	0.612
2026-09-20	mean_latency_s	0.623
2026-09-18	judge_input_tokens	4969453
2026-09-19	judge_input_tokens	3953341
2026-09-20	judge_input_tokens	4206509
all	judge_input_tokens	13129303
2026-09-18	judge_cost_usd	0.2087
2026-09-19	judge_cost_usd	0.166
2026-09-20	judge_cost_usd	0.1767
all	judge_cost_usd	0.5514
2026-09-18	reference_input_tokens	859213
2026-09-19	reference_input_tokens	791975
2026-09-20	reference_input_tokens	1028698
all	reference_input_tokens	2679886
2026-09-18	reference_output_tokens	36426
2026-09-19	reference_output_tokens	34313
2026-09-20	reference_output_tokens	38570
all	reference_output_tokens	109309
2026-09-18	latency_min_max_s	0.49/1.50
2026-09-19	latency_min_max_s	0.50/8.11
2026-09-20	latency_min_max_s	0.49/7.86
