maker	model	vendor_route	run	spec_pin	n	error_count	schema_rate	mode_acc	boundary_acc	boundary_n	mae	vector_score	jcs	weighted_total
Alibaba	qwen3.8-max	relay-qwen3.8-max	relay-qwen3.8-max-20260920-053102	127ba56f4eb1	100	0	1.0	0.9	0.9	20	0.044	0.8239	0.9048	0.7614
Alibaba	qwen3.8-flash	relay-qwen3.8-flash	relay-qwen3.8-flash-20260920-040159	127ba56f4eb1	100	0	1.0	0.89	0.8	20	0.0441	0.8237	0.8807	0.6521
Alibaba	qwen3.8-flash	qwen-official-qwen3.8-flash	qwen-official-qwen3.8-flash-20260925-092842	127ba56f4eb1	100	0	1.0	0.87	0.7	20	0.0453	0.8189	0.8518	0.658
Alibaba	qwen/qwen3.8-flash	openrouter-qwen-qwen3.8-flash	openrouter-qwen-qwen3.8-flash-20260925-151914	127ba56f4eb1	100	0	0.94	0.86	0.6	20	0.0527	0.7894	0.8099	0.6064
Alibaba	qwen3.8-27b	relay-qwen3.8-27b	relay-qwen3.8-27b-20260920-035028	127ba56f4eb1	100	0	0.98	0.62	0.4	20	0.0585	0.7658	0.6772	0.4773
Anthropic	claude-sonnet-5	relay-claude-sonnet-5	relay-claude-sonnet-5-20260919-080833	127ba56f4eb1	100	0	0.96	0.8	0.5	20	0.0504	0.7986	0.7717	0.5652
Anthropic	anthropic/claude-fable-5.1	orca-anthropic-claude-fable-5.1	orca-anthropic-claude-fable-5.1-20260920-000704	127ba56f4eb1	100	0	0.86	0.75	0.75	20	0.0759	0.6963	0.7613	0.73
Anthropic	anthropic/claude-sonnet-4.6	openrouter-anthropic-claude-sonnet-4.6	openrouter-anthropic-claude-sonnet-4.6-20260925-092828	127ba56f4eb1	100	0	0.94	0.67	0.55	20	0.0443	0.8226	0.7305	0.4793
Anthropic	anthropic/claude-opus-4.7	openrouter-anthropic-claude-opus-4.7	openrouter-anthropic-claude-opus-4.7-20260926-002600	127ba56f4eb1	100	0	0.99	0.64	0.45	20	0.039	0.8441	0.7128	0.509
Anthropic	claude-opus-4.5	relay-claude-opus-4.5	relay-claude-opus-4.5-20260918-225457	127ba56f4eb1	100	0	0.92	0.54	0.45	20	0.0522	0.7913	0.6483	0.5095
Anthropic	claude-sonnet-4.5	relay-claude-sonnet-4.5	relay-claude-sonnet-4.5-20260919-003613	127ba56f4eb1	100	0	0.92	0.43	0.45	20	0.0576	0.7695	0.5999	0.4046
Anthropic	anthropic/claude-haiku-4.5	openrouter-anthropic-claude-haiku-4.5	openrouter-anthropic-claude-haiku-4.5-20260925-094619	127ba56f4eb1	100	0	0.92	0.41	0.4	20	0.0743	0.7029	0.5686	0.4185
Anthropic	claude-haiku-4.5	relay-claude-haiku-4.5	relay-claude-haiku-4.5-20260918-225457	127ba56f4eb1	100	0	0.0	0.0	0.0	20	0.2338	0.0649	0.013	0.0039
Anthropic	claude-opus-4.6	relay-claude-opus-4.6	relay-claude-opus-4.6-20260918-231057	127ba56f4eb1	100	76	0.0	0.0	0.0	20	0.2338	0.0649	0.013	0.0576
Anthropic	claude-opus-4.7	relay-claude-opus-4.7	relay-claude-opus-4.7-20260918-231258	127ba56f4eb1	100	0	0.0	0.0	0.0	20	0.2338	0.0649	0.013	0.0278
Anthropic	claude-opus-4.8	relay-claude-opus-4.8	relay-claude-opus-4.8-20260918-233028	127ba56f4eb1	100	100	0.0	0.0	0.0	20	0.2338	0.0649	0.013	0.0622
Anthropic	claude-opus-5	relay-claude-opus-5	relay-claude-opus-5-20260918-235100	127ba56f4eb1	100	100	0.0	0.0	0.0	20	0.2338	0.0649	0.013	0.0156
Anthropic	claude-sonnet-4.6	relay-claude-sonnet-4.6	relay-claude-sonnet-4.6-20260919-011415	127ba56f4eb1	100	0	0.0	0.0	0.0	20	0.2338	0.0649	0.013	0.0284
DeepSeek	deepseek/deepseek-v4-flash-free	orcarouter-deepseek-free	orcarouter-deepseek-free-20260918-050901	127ba56f4eb1	100	0	1.0	0.86	0.7	20	0.0513	0.7947	0.8429	0.5825
DeepSeek	deepseek/deepseek-v4-flash-free	orcarouter-deepseek-free	orcarouter-deepseek-free-20260926-034241	755191433e4e	100	0	0.98	0.84	0.7	20	0.0556	0.7777	0.8275	0.7808
DeepSeek	deepseek-v4-pro	relay-deepseek-v4-pro	relay-deepseek-v4-pro-20260919-080833	127ba56f4eb1	100	0	0.9	0.77	0.5	20	0.0544	0.7822	0.7444	0.5692
DeepSeek	deepseek-v4.1-flash	qwen-official-deepseek-v4.1-flash	qwen-official-deepseek-v4.1-flash-20260925-232030	127ba56f4eb1	100	0	0.88	0.76	0.5	20	0.065	0.7399	0.728	0.5731
DeepSeek	deepseek-flash	deepseek-official-deepseek-flash	deepseek-official-deepseek-flash-20260925-092832	127ba56f4eb1	100	0	0.88	0.77	0.4	20	0.0483	0.8067	0.7253	0.5623
DeepSeek	deepseek-v4.1-flash	relay-deepseek-v4.1-flash	relay-deepseek-v4.1-flash-20260919-082534	127ba56f4eb1	100	0	0.87	0.76	0.5	20	0.0662	0.7351	0.725	0.529
DeepSeek	deepseek/deepseek-v4.1-flash	openrouter-deepseek-deepseek-v4.1-flash	openrouter-deepseek-deepseek-v4.1-flash-20260925-092955	127ba56f4eb1	100	0	0.86	0.77	0.35	20	0.0617	0.753	0.7006	0.5578
Google	gemini-3.8-flash	relay-gemini-3.8-flash	relay-gemini-3.8-flash-20260919-093409	127ba56f4eb1	100	0	1.0	0.9	0.75	20	0.0367	0.8532	0.8806	0.8417
Google	gemini-3.5-flash	relay-gemini-3.5-flash	relay-gemini-3.5-flash-20260919-090636	127ba56f4eb1	100	0	0.99	0.86	0.8	20	0.0634	0.7462	0.8512	0.5628
Google	gemini-3-flash	relay-gemini-3-flash	relay-gemini-3-flash-20260919-083635	127ba56f4eb1	100	0	0.95	0.82	0.75	20	0.0702	0.7193	0.8119	0.5802
Google	gemini-3.6-flash	relay-gemini-3.6-flash	relay-gemini-3.6-flash-20260919-093238	127ba56f4eb1	100	7	0.93	0.8	0.7	20	0.0471	0.8115	0.8083	0.5826
Google	gemini-3.5-flash-lite	relay-gemini-3.5-flash-lite	relay-gemini-3.5-flash-lite-20260919-092638	127ba56f4eb1	100	0	0.94	0.57	0.4	20	0.0511	0.7956	0.6551	0.4415
Google	gemini-3.1-pro	relay-gemini-3.1-pro	relay-gemini-3.1-pro-20260919-084805	127ba56f4eb1	100	36	0.63	0.54	0.1	20	0.1176	0.5294	0.4679	0.656
MiniMax	minimax-m2.7	relay-minimax-m2.7	relay-minimax-m2.7-20260920-031356	127ba56f4eb1	100	0	0.96	0.63	0.5	20	0.0578	0.7689	0.6978	0.403
MiniMax	minimax-m3	relay-minimax-m3	relay-minimax-m3-20260920-034727	127ba56f4eb1	100	75	0.25	0.25	0.0	20	0.166	0.3359	0.2172	0.316
Moonshot	kimi-k3	relay-kimi-k3	relay-kimi-k3-20260920-002353	127ba56f4eb1	100	0	1.0	0.83	0.6	20	0.0506	0.7975	0.8115	0.7165
OpenAI	gpt-6-astra	relay-gpt-6-astra	relay-gpt-6-astra-20260920-000551	127ba56f4eb1	100	0	1.0	0.86	0.7	20	0.0487	0.8053	0.8451	0.7733
OpenAI	gpt-5.6-luna	relay-gpt-5.6-luna	relay-gpt-5.6-luna-20260919-142153	127ba56f4eb1	100	0	1.0	0.85	0.7	20	0.0538	0.7849	0.837	0.6104
OpenAI	gpt-5.5-instant	relay-gpt-5.5-instant	relay-gpt-5.5-instant-20260919-141252	127ba56f4eb1	100	0	1.0	0.84	0.7	20	0.0558	0.7767	0.8313	0.677
OpenAI	gpt-5.5	relay-gpt-5.5	relay-gpt-5.5-20260919-140721	127ba56f4eb1	100	0	1.0	0.83	0.6	20	0.0474	0.8103	0.8141	0.6374
